iter	Passed	Remaining
0	57	57538
1	58	29086
2	58	19556
3	59	14799
4	59	11917
5	60	10013
6	60	8647
7	61	7618
8	61	6814
9	62	6185
10	63	5673
11	63	5236
12	64	4868
13	64	4557
14	65	4281
15	65	4043
16	66	3831
17	66	3639
18	67	3469
19	67	3318
20	68	3179
21	68	3054
22	69	2937
23	69	2828
24	69	2729
25	70	2640
26	70	2554
27	71	2477
28	71	2406
29	72	2341
30	72	2278
31	73	2218
32	73	2162
33	74	2110
34	74	2060
35	75	2014
36	75	1968
37	76	1926
38	76	1886
39	77	1850
40	77	1814
41	77	1778
42	78	1743
43	78	1712
44	79	1681
45	79	1651
46	80	1623
47	80	1597
48	80	1572
49	81	1547
50	82	1525
51	82	1504
52	82	1482
53	83	1462
54	83	1441
55	84	1421
56	84	1402
57	85	1384
58	85	1366
59	86	1349
60	86	1333
61	87	1316
62	87	1300
63	87	1285
64	88	1271
65	88	1257
66	89	1243
67	89	1229
68	90	1216
69	90	1205
70	91	1194
71	91	1184
72	92	1174
73	93	1164
74	93	1154
75	94	1144
76	94	1134
77	95	1123
78	95	1114
79	96	1104
80	96	1095
81	97	1086
82	97	1075
83	97	1066
84	98	1059
85	98	1050
86	99	1042
87	99	1035
88	100	1027
89	100	1020
90	101	1013
91	101	1006
92	102	998
93	102	991
94	103	985
95	103	978
96	104	972
97	104	965
98	105	958
99	105	952
100	106	946
101	106	940
102	107	934
103	107	927
104	108	921
105	108	915
106	108	909
107	109	904
108	109	898
109	110	892
110	110	887
111	111	882
112	111	876
113	112	871
114	112	866
115	113	861
116	113	855
117	113	851
118	114	846
119	114	841
120	115	837
121	115	831
122	116	827
123	116	822
124	116	817
125	117	813
126	117	808
127	118	804
128	118	800
129	119	796
130	119	791
131	119	787
132	120	784
133	120	780
134	121	777
135	121	773
136	122	770
137	122	767
138	123	764
139	123	761
140	124	757
141	124	753
142	125	750
143	125	747
144	126	746
145	127	743
146	127	741
147	128	738
148	128	735
149	129	732
150	129	729
151	130	727
152	130	724
153	131	721
154	131	718
155	132	715
156	132	713
157	133	711
158	133	708
159	134	705
160	134	702
161	135	699
162	135	696
163	136	693
164	136	691
165	137	688
166	137	685
167	138	683
168	138	681
169	138	678
170	139	675
171	140	674
172	140	672
173	141	670
174	141	668
175	142	666
176	142	663
177	143	661
178	143	658
179	144	656
180	144	653
181	144	651
182	145	649
183	146	647
184	146	645
185	147	643
186	147	641
187	148	639
188	148	637
189	149	635
190	149	633
191	150	631
192	150	630
193	151	628
194	151	626
195	152	625
196	152	623
197	153	622
198	154	620
199	154	618
200	155	616
201	155	615
202	156	613
203	156	611
204	157	609
205	157	607
206	158	606
207	158	604
208	159	602
209	159	600
210	160	599
211	160	597
212	161	595
213	161	594
214	162	592
215	162	591
216	163	589
217	163	587
218	164	585
219	164	584
220	165	582
221	165	581
222	166	579
223	166	578
224	167	576
225	167	574
226	168	573
227	168	572
228	169	570
229	169	568
230	170	567
231	170	565
232	171	564
233	171	562
234	172	560
235	172	559
236	173	557
237	173	556
238	174	554
239	174	552
240	175	551
241	175	550
242	176	549
243	176	547
244	177	545
245	177	544
246	178	543
247	178	541
248	179	540
249	179	538
250	180	537
251	180	536
252	181	535
253	181	534
254	182	532
255	182	531
256	183	529
257	183	528
258	184	527
259	184	526
260	185	524
261	185	523
262	186	522
263	186	521
264	187	520
265	187	518
266	188	517
267	188	515
268	190	516
269	190	515
270	191	514
271	191	512
272	192	511
273	192	510
274	192	508
275	193	507
276	193	506
277	194	504
278	194	503
279	195	501
280	195	500
281	195	498
282	196	497
283	196	496
284	197	494
285	197	493
286	198	492
287	198	490
288	198	489
289	199	488
290	199	486
291	200	485
292	200	483
293	200	482
294	201	481
295	201	479
296	202	478
297	202	477
298	203	475
299	203	474
300	203	473
301	204	472
302	204	470
303	205	469
304	205	468
305	206	467
306	206	466
307	206	465
308	207	464
309	207	462
310	208	461
311	208	460
312	209	458
313	209	457
314	209	456
315	210	455
316	210	453
317	211	452
318	211	451
319	212	450
320	212	449
321	213	448
322	213	447
323	213	446
324	214	445
325	214	443
326	215	442
327	215	441
328	216	440
329	216	439
330	216	438
331	217	437
332	217	435
333	218	435
334	218	433
335	219	432
336	219	431
337	219	430
338	220	429
339	220	428
340	221	428
341	221	426
342	222	425
343	222	424
344	223	423
345	223	422
346	224	421
347	224	420
348	224	419
349	225	418
350	225	416
351	225	415
352	226	414
353	226	413
354	227	412
355	227	411
356	228	411
357	228	410
358	229	408
359	229	408
360	230	407
361	230	406
362	230	405
363	231	404
364	231	403
365	232	402
366	232	401
367	233	400
368	233	399
369	233	398
370	234	397
371	234	396
372	235	395
373	235	394
374	236	393
375	236	392
376	237	391
377	237	390
378	237	389
379	238	388
380	238	387
381	239	387
382	239	386
383	240	385
384	240	384
385	241	383
386	241	382
387	242	381
388	242	380
389	242	379
390	243	378
391	243	377
392	244	377
393	244	376
394	245	375
395	245	374
396	245	373
397	246	372
398	246	371
399	247	370
400	247	369
401	248	369
402	248	368
403	249	367
404	249	366
405	249	365
406	250	364
407	250	363
408	251	362
409	251	361
410	251	361
411	252	360
412	252	359
413	253	358
414	253	357
415	254	356
416	254	355
417	254	354
418	255	353
419	255	353
420	256	352
421	256	351
422	257	350
423	257	349
424	258	349
425	258	348
426	258	347
427	259	346
428	259	345
429	260	345
430	260	344
431	261	343
432	261	342
433	262	341
434	262	341
435	262	340
436	263	339
437	263	338
438	264	337
439	264	336
440	264	335
441	265	335
442	265	334
443	266	333
444	266	332
445	267	332
446	267	331
447	268	330
448	268	329
449	269	328
450	269	328
451	269	327
452	270	326
453	270	325
454	271	324
455	271	323
456	271	323
457	272	322
458	272	321
459	273	320
460	273	320
461	274	319
462	274	318
463	274	317
464	275	316
465	276	316
466	276	315
467	276	314
468	277	314
469	277	313
470	278	312
471	278	311
472	279	311
473	279	310
474	279	309
475	280	308
476	280	307
477	281	307
478	281	306
479	282	305
480	282	304
481	282	303
482	283	303
483	283	302
484	284	301
485	284	301
486	285	300
487	285	299
488	285	298
489	286	298
490	286	297
491	287	296
492	287	295
493	287	294
494	288	294
495	288	293
496	289	292
497	289	291
498	289	291
499	290	290
500	290	289
501	291	288
502	291	288
503	292	287
504	292	286
505	292	285
506	293	285
507	293	284
508	294	283
509	294	283
510	295	282
511	295	281
512	295	280
513	296	280
514	296	279
515	297	278
516	297	277
517	297	277
518	298	276
519	298	275
520	299	275
521	299	274
522	299	273
523	300	272
524	300	272
525	301	271
526	301	270
527	302	270
528	302	269
529	302	268
530	303	267
531	303	267
532	304	266
533	304	265
534	304	265
535	305	264
536	305	263
537	306	263
538	306	262
539	307	261
540	307	260
541	308	260
542	308	259
543	308	258
544	309	258
545	309	257
546	310	256
547	310	256
548	311	255
549	311	254
550	311	254
551	312	253
552	312	252
553	313	252
554	313	251
555	314	250
556	314	250
557	314	249
558	315	248
559	315	248
560	316	247
561	316	246
562	317	246
563	317	245
564	317	244
565	318	244
566	318	243
567	319	242
568	319	242
569	320	241
570	320	240
571	320	240
572	321	239
573	321	238
574	322	238
575	322	237
576	323	236
577	323	236
578	323	235
579	324	234
580	324	234
581	325	233
582	325	232
583	325	232
584	326	231
585	326	230
586	326	230
587	327	229
588	327	228
589	328	228
590	328	227
591	329	226
592	329	226
593	329	225
594	330	224
595	330	224
596	331	223
